"자치구별(1)",전체,외식업,서비스업,소매업
"서울시",73142,26760,20702,25680
"종로구",2159,917,453,789
"중구",3618,910,445,2263
"용산구",1913,736,425,752
"성동구",2031,769,528,734
"광진구",2617,1075,711,831
"동대문구",2320,865,559,896
"중랑구",2332,895,662,775
"성북구",2309,834,614,861
"강북구",1920,777,513,630
"도봉구",1558,561,485,512
"노원구",2659,848,853,958
"은평구",2713,972,868,873
"서대문구",1924,756,548,620
"마포구",4036,1866,1055,1115
"양천구",2632,865,922,845
"강서구",4403,1611,1322,1470
"구로구",2745,957,650,1138
"금천구",2075,745,507,823
"영등포구",3485,1341,970,1174
"동작구",2042,753,619,670
"관악구",2872,1190,900,782
"서초구",3875,1124,1487,1264
"강남구",6799,2510,2268,2021
"송파구",5082,1817,1453,1812
"강동구",3023,1066,885,1072
